instance_id,repo,difficulty
pytest-dev__pytest-6197,pytest-dev/pytest,1-4 hours
django__django-14007,django/django,1-4 hours
pydata__xarray-3993,pydata/xarray,1-4 hours
sympy__sympy-17630,sympy/sympy,1-4 hours
django__django-11885,django/django,1-4 hours
django__django-15957,django/django,1-4 hours
django__django-10554,django/django,1-4 hours
django__django-15629,django/django,1-4 hours
django__django-14631,django/django,1-4 hours
django__django-12708,django/django,1-4 hours
pytest-dev__pytest-7982,pytest-dev/pytest,<15 min fix
django__django-16899,django/django,<15 min fix
scikit-learn__scikit-learn-13328,scikit-learn/scikit-learn,<15 min fix
sympy__sympy-14711,sympy/sympy,<15 min fix
django__django-11299,django/django,<15 min fix
django__django-14534,django/django,<15 min fix
sphinx-doc__sphinx-8269,sphinx-doc/sphinx,<15 min fix
matplotlib__matplotlib-13989,matplotlib/matplotlib,<15 min fix
django__django-15277,django/django,<15 min fix
django__django-11820,django/django,<15 min fix
