instance_id,repo,difficulty
scikit-learn__scikit-learn-13328,scikit-learn/scikit-learn,<15 min fix
django__django-11433,django/django,<15 min fix
sphinx-doc__sphinx-8269,sphinx-doc/sphinx,<15 min fix
matplotlib__matplotlib-13989,matplotlib/matplotlib,<15 min fix
django__django-15277,django/django,<15 min fix
sphinx-doc__sphinx-7889,sphinx-doc/sphinx,<15 min fix
django__django-14534,django/django,<15 min fix
django__django-11299,django/django,<15 min fix
psf__requests-1142,psf/requests,<15 min fix
pallets__flask-5014,pallets/flask,<15 min fix
sympy__sympy-18763,sympy/sympy,<15 min fix
django__django-11490,django/django,<15 min fix
django__django-16116,django/django,<15 min fix
django__django-11099,django/django,<15 min fix
sphinx-doc__sphinx-9320,sphinx-doc/sphinx,<15 min fix
psf__requests-5414,psf/requests,<15 min fix
django__django-15315,django/django,<15 min fix
psf__requests-1724,psf/requests,<15 min fix
sympy__sympy-23534,sympy/sympy,<15 min fix
pydata__xarray-4094,pydata/xarray,<15 min fix
pylint-dev__pylint-4970,pylint-dev/pylint,<15 min fix
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,<15 min fix
django__django-15104,django/django,<15 min fix
django__django-13794,django/django,<15 min fix
sphinx-doc__sphinx-8595,sphinx-doc/sphinx,<15 min fix
psf__requests-1921,psf/requests,<15 min fix
django__django-15127,django/django,<15 min fix
django__django-17029,django/django,<15 min fix
django__django-12308,django/django,<15 min fix
matplotlib__matplotlib-24149,matplotlib/matplotlib,<15 min fix
