instance_id,repo,difficulty
astropy__astropy-14539,astropy/astropy,15 min - 1 hour
django__django-11433,django/django,<15 min fix
django__django-13837,django/django,1-4 hours
django__django-15277,django/django,<15 min fix
matplotlib__matplotlib-13989,matplotlib/matplotlib,<15 min fix
matplotlib__matplotlib-24637,matplotlib/matplotlib,15 min - 1 hour
pydata__xarray-3677,pydata/xarray,15 min - 1 hour
scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,15 min - 1 hour
sphinx-doc__sphinx-7889,sphinx-doc/sphinx,<15 min fix
sphinx-doc__sphinx-8269,sphinx-doc/sphinx,<15 min fix
sympy__sympy-22914,sympy/sympy,15 min - 1 hour
pydata__xarray-3993,pydata/xarray,1-4 hours
django__django-14007,django/django,1-4 hours
django__django-12708,django/django,1-4 hours
pylint-dev__pylint-4551,pylint-dev/pylint,1-4 hours
